source_dataset,raw_technique_id,parent_technique_id_v19_1,technique_name_v19_1,observability_category,observability_reason,raw_instance_support,reliable_instance_support,relation_linkable_instance_support,reliable_relation_linkable_instance_support,label_record_count,doubt_record_count,relation_linked_record_count,provisional_k_set,mapping_status
CasinoLimit,T1562,T1562,Impair Defenses,D,The audited Flow schema cannot independently establish this host/content/identity action.,3,3,0,0,21,0,0,K_excluded,EXACT_HISTORICAL_REVIEW
CasinoLimit,T1565,T1565,Data Manipulation,D,The audited Flow schema cannot independently establish this host/content/identity action.,1,1,0,0,1,0,0,K_excluded,EXACT_ACTIVE
CasinoLimit,T1567,T1567,Exfiltration Over Web Service,C,Web transfer is visible; exfiltration intent and content are not.,18,18,0,0,54,0,0,K_attribution_only,EXACT_ACTIVE
CasinoLimit,T1569,T1569,System Services,D,The audited Flow schema cannot independently establish this host/content/identity action.,3,3,0,0,4,0,0,K_excluded,EXACT_ACTIVE
CasinoLimit,T1570,T1570,Lateral Tool Transfer,C,Lateral transfer pattern is partly visible; transferred tool identity is absent.,18,18,2,2,64,0,2,K_attribution_only,EXACT_ACTIVE
CasinoLimit,T1572,T1572,Protocol Tunneling,B,"Persistent or unusual tunnel-like channels are pattern-level evidence, not payload proof.",17,17,10,10,73,0,33,K_fewshot,EXACT_ACTIVE
CasinoLimit,T1580,T1580,Cloud Infrastructure Discovery,D,The audited Flow schema cannot independently establish this host/content/identity action.,1,1,1,1,1,0,1,K_excluded,EXACT_ACTIVE
CasinoLimit,T1587,T1587,Develop Capabilities,D,The audited Flow schema cannot independently establish this host/content/identity action.,29,29,0,0,160,0,0,K_attribution_only,EXACT_ACTIVE
CasinoLimit,T1590,T1590,Gather Victim Network Information,D,The audited Flow schema cannot independently establish this host/content/identity action.,2,2,0,0,5,0,0,K_excluded,EXACT_ACTIVE
CasinoLimit,T1592,T1592,Gather Victim Host Information,D,The audited Flow schema cannot independently establish this host/content/identity action.,13,13,0,0,207,0,0,K_excluded,EXACT_ACTIVE
CasinoLimit,T1595,T1595,Active Scanning,B,Active scan fan-out is observable in causal Flow context.,73,0,52,0,690,690,233,K_excluded,EXACT_ACTIVE
CasinoLimit,T1602,T1602,Data from Configuration Repository,D,The audited Flow schema cannot independently establish this host/content/identity action.,7,7,0,0,11,0,0,K_excluded,EXACT_ACTIVE
CasinoLimit,T1608,T1608,Stage Capabilities,D,The audited Flow schema cannot independently establish this host/content/identity action.,9,9,0,0,18,0,0,K_excluded,EXACT_ACTIVE
CasinoLimit,T1611,T1611,Escape to Host,D,The audited Flow schema cannot independently establish this host/content/identity action.,1,1,0,0,1,0,0,K_excluded,EXACT_ACTIVE
CasinoLimit,T1613,T1613,Container and Resource Discovery,D,The audited Flow schema cannot independently establish this host/content/identity action.,30,30,0,0,89,0,0,K_attribution_only,EXACT_ACTIVE
CasinoLimit,T1649,T1649,Steal or Forge Authentication Certificates,D,The audited Flow schema cannot independently establish this host/content/identity action.,3,3,0,0,4,0,0,K_excluded,EXACT_ACTIVE
CasinoLimit,T1654,T1654,Log Enumeration,D,The audited Flow schema cannot independently establish this host/content/identity action.,29,29,0,0,62,0,0,K_attribution_only,EXACT_ACTIVE
